index	fib_sum	dfsr	ifsr	actlr	cpacr	pmcr	cache_aux_cntrl	cntrl
10	14930352	2053	0	66	15728640	2147483648	270532674	12916861	10
10	14930352	2053	0	66	15728640	2147483648	270532674	12916861	10
10	14930352	2053	0	66	15728640	2147483648	270532674	12916861	10
10	14930352	2053	0	66	15728640	2147483648	270532674	12916861	10
10	14930352	2053	0	66	15728640	2147483648	270532674	12916861	10
11	14930352	2053	0	66	15728640	2147483648	270532674	12916861	11
11	14930352	2053	0	66	15728640	2147483648	270532674	12916861	11
11	14930352	2053	0	66	15728640	2147483648	270532674	12916861	11
11	14930352	2053	0	66	15728640	2147483648	270532674	12916861	11
11	14930352	2053	0	66	15728640	2147483648	270532674	12916861	11
11	14930352	2053	0	66	15728640	2147483648	270532674	12916861	11
12	14930352	2053	0	66	15728640	2147483648	270532674	12916861	12
12	14930352	2053	0	66	15728640	2147483648	270532674	12916861	12
12	14930352	2053	0	66	15728640	2147483648	270532674	12916861	12
12	14930352	2053	0	66	15728640	2147483648	270532674	12916861	12
12	14930352	2053	0	66	15728640	2147483648	270532674	12916861	12
12	14930352	2053	0	66	15728640	2147483648	270532674	12916861	12
13	14930352	2053	0	66	15728640	2147483648	270532674	12916861	13
13	14930352	2053	0	66	15728640	2147483648	270532674	12916861	13
13	14930352	2053	0	66	15728640	2147483648	270532674	12916861	13
13	14930352	2053	0	66	15728640	2147483648	270532674	12916861	13
14	14930352	2053	0	66	15728640	2147483648	270532674	12916861	14
14	14930352	2053	0	66	15728640	2147483648	270532674	12916861	14
14	14930352	2053	0	66	15728640	2147483648	270532674	12916861	14
14	14930352	2053	0	66	15728640	2147483648	270532674	12916861	14
14	14930352	2053	0	66	15728640	2147483648	270532674	12916861	14
14	14930352	2053	0	66	15728640	2147483648	270532674	12916861	14
15	14930352	2053	0	66	15728640	2147483648	270532674	12916861	15
15	14930352	2053	0	66	15728640	2147483648	270532674	12916861	15
15	14930352	2053	0	66	15728640	2147483648	270532674	12916861	15
15	14930352	2053	0	66	15728640	2147483648	270532674	12916861	15
15	14930352	2053	0	66	15728640	2147483648	270532674	12916861	15
15	14930352	2053	0	66	15728640	2147483648	270532674	12916861	15
16	14930352	2053	0	66	15728640	2147483648	270532674	12916861	16
16	14930352	2053	0	66	15728640	2147483648	270532674	12916861	16
16	14930352	2053	0	66	15728640	2147483648	270532674	12916861	16
16	14930352	2053	0	66	15728640	2147483648	270532674	12916861	16
16	14930352	2053	0	66	15728640	2147483648	270532674	12916861	16
17	14930352	2053	0	66	15728640	2147483648	270532674	12916861	17
17	14930352	2053	0	66	15728640	2147483648	270532674	12916861	17
17	14930352	2053	0	66	15728640	2147483648	270532674	12916861	17
17	14930352	2053	0	66	15728640	2147483648	270532674	12916861	17
17	14930352	2053	0	66	15728640	2147483648	270532674	12916861	17
18	14930352	2053	0	66	15728640	2147483648	270532674	12916861	18
18	14930352	2053	0	66	15728640	2147483648	270532674	12916861	18
18	14930352	2053	0	66	15728640	2147483648	270532674	12916861	18
18	14930352	2053	0	66	15728640	2147483648	270532674	12916861	18
18	14930352	2053	0	66	15728640	2147483648	270532674	12916861	18
18	14930352	2053	0	66	15728640	2147483648	270532674	12916861	18
19	14930352	2053	0	66	15728640	2147483648	270532674	12916861	19
19	14930352	2053	0	66	15728640	2147483648	270532674	12916861	19
19	14930352	2053	0	66	15728640	2147483648	270532674	12916861	19
19	14930352	2053	0	66	15728640	2147483648	270532674	12916861	19
20	14930352	2053	0	66	15728640	2147483648	270532674	12916861	20
20	14930352	2053	0	66	15728640	2147483648	270532674	12916861	20
20	14930352	2053	0	66	15728640	2147483648	270532674	12916861	20
20	14930352	2053	0	66	15728640	2147483648	270532674	12916861	20
20	14930352	2053	0	66	15728640	2147483648	270532674	12916861	20
20	14930352	2053	0	66	15728640	2147483648	270532674	12916861	20
21	14930352	2053	0	66	15728640	2147483648	270532674	12916861	21
21	14930352	2053	0	66	15728640	2147483648	270532674	12916861	21
21	14930352	2053	0	66	15728640	2147483648	270532674	12916861	21
21	14930352	2053	0	66	15728640	2147483648	270532674	12916861	21
21	14930352	2053	0	66	15728640	2147483648	270532674	12916861	21
22	14930352	2053	0	66	15728640	2147483648	270532674	12916861	22
22	14930352	2053	0	66	15728640	2147483648	270532674	12916861	22
22	14930352	2053	0	66	15728640	2147483648	270532674	12916861	22
22	14930352	2053	0	66	15728640	2147483648	270532674	12916861	22
22	14930352	2053	0	66	15728640	2147483648	270532674	12916861	22
23	14930352	2053	0	66	15728640	2147483648	270532674	12916861	23
23	14930352	2053	0	66	15728640	2147483648	270532674	12916861	23
