fib_sum	dfsr	ifsr	actlr	cpacr	pmcr	cache_aux_cntrl	cntrl
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	20
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	20
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	20
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	20
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	20
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	20
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	21
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	21
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	21
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	21
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	21
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	21
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	21
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	22
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	22
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	22
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	22
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	22
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	22
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	23
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	23
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	23
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	23
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	23
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	23
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	23
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	24
